"Step","Conv-Plain-56Layers - gradients/layer3.0.conv1.weight"
"1360","{""_type"":""histogram"",""values"":[1,0,0,1,0,2,1,1,2,1,1,2,3,8,13,18,14,16,32,43,77,99,105,171,259,316,430,553,713,850,1027,1227,1443,1570,1593,1468,1294,1110,869,738,547,440,312,259,202,152,121,84,59,42,32,30,25,18,7,10,4,7,3,1,1,2,1,2],""bins"":[-0.006345742382109165,-0.006159582655527629,-0.005973422928946093,-0.0057872632023645565,-0.00560110347578302,-0.005414943749201484,-0.005228784022619948,-0.0050426242960384116,-0.004856464569456875,-0.004670304842875339,-0.004484145116293803,-0.004297985389712267,-0.00411182566313073,-0.003925665936549194,-0.003739506209967658,-0.0035533464833861217,-0.0033671867568045855,-0.0031810270302230492,-0.002994867303641513,-0.0028087075770599768,-0.0026225478504784405,-0.0024363881238969043,-0.002250228397315368,-0.002064068670733832,-0.0018779089441522956,-0.0016917492175707594,-0.0015055894909892231,-0.0013194297644076869,-0.0011332700378261507,-0.0009471103112446144,-0.0007609505846630782,-0.000574790858081542,-0.0003886311315000057,-0.0002024714049184695,-0.000016311678336933255,0.00016984804824460298,0.0003560077748261392,0.0005421675014076754,0.0007283272279892117,0.0009144869545707479,0.0011006466811522841,0.0012868064077338204,0.0014729661343153566,0.0016591258608968928,0.001845285587478429,0.0020314453140599653,0.0022176050406415015,0.0024037647672230378,0.002589924493804574,0.0027760842203861102,0.0029622439469676465,0.0031484036735491827,0.003334563400130719,0.003520723126712255,0.0037068828532937914,0.0038930425798753276,0.004079202306456864,0.0042653620330384,0.004451521759619936,0.004637681486201473,0.004823841212783009,0.005010000939364545,0.005196160665946081,0.0053823203925276175,0.005568480119109154]}"
"1369","{""_type"":""histogram"",""values"":[1,0,0,2,0,0,1,3,1,0,4,2,3,6,6,5,15,13,14,17,38,50,58,80,127,169,248,434,589,969,1209,1595,1953,2138,2025,1722,1389,981,779,547,391,266,182,137,77,53,47,22,15,11,6,9,7,7,0,0,1,3,1,1,0,2,0,1],""bins"":[-0.006787211634218693,-0.006586034120118711,-0.0063848566060187295,-0.006183679091918748,-0.005982501577818766,-0.005781324063718785,-0.005580146549618803,-0.005378969035518821,-0.00517779152141884,-0.004976614007318858,-0.004775436493218876,-0.004574258979118895,-0.004373081465018913,-0.0041719039509189315,-0.00397072643681895,-0.0037695489227189682,-0.0035683714086189866,-0.003367193894519005,-0.0031660163804190233,-0.0029648388663190417,-0.00276366135221906,-0.0025624838381190784,-0.002361306324019097,-0.002160128809919115,-0.0019589512958191335,-0.0017577737817191519,-0.0015565962676191702,-0.0013554187535191886,-0.001154241239419207,-0.0009530637253192253,-0.0007518862112192437,-0.0005507086971192621,-0.00034953118301928043,-0.0001483536689192988,0.00005282384518068284,0.0002540013592806645,0.0004551788733806461,0.0006563563874806277,0.0008575339015806094,0.001058711415680591,0.0012598889297805727,0.0014610664438805543,0.001662243957980536,0.0018634214720805176,0.002064598986180499,0.002265776500280481,0.0024669540143804625,0.002668131528480444,0.0028693090425804257,0.0030704865566804074,0.003271664070780389,0.0034728415848803706,0.0036740190989803523,0.003875196613080334,0.0040763741271803156,0.004277551641280297,0.004478729155380279,0.0046799066694802605,0.004881084183580242,0.005082261697680224,0.005283439211780205,0.005484616725880187,0.005685794239980169,0.00588697175408015,0.006088149268180132]}"
"1378","{""_type"":""histogram"",""values"":[1,1,0,3,2,1,2,2,5,9,8,19,10,25,28,37,54,58,80,119,151,215,259,349,426,551,717,906,1139,1374,1493,1588,1552,1400,1225,1085,844,672,489,391,295,237,170,116,93,53,45,30,23,23,17,13,7,6,2,6,0,1,1,1,1,0,0,2],""bins"":[-0.005866962485015392,-0.005683526673237793,-0.005500090861460194,-0.005316655049682595,-0.005133219237904996,-0.0049497834261273965,-0.004766347614349797,-0.004582911802572198,-0.004399475990794599,-0.004216040179017,-0.004032604367239401,-0.0038491685554618016,-0.0036657327436842024,-0.0034822969319066033,-0.003298861120129004,-0.003115425308351405,-0.002931989496573806,-0.0027485536847962067,-0.0025651178730186075,-0.0023816820612410083,-0.002198246249463409,-0.00201481043768581,-0.0018313746259082109,-0.0016479388141306117,-0.0014645030023530126,-0.0012810671905754134,-0.0010976313787978142,-0.0009141955670202151,-0.0007307597552426159,-0.0005473239434650168,-0.0003638881316874176,-0.00018045231990981847,0.0000029834918677806854,0.00018641930364537984,0.000369855115422979,0.0005532909272005782,0.0007367267389781773,0.0009201625507557765,0.0011035983625333756,0.0012870341743109748,0.001470469986088574,0.001653905797866173,0.0018373416096437722,0.0020207774214213714,0.0022042132331989706,0.0023876490449765697,0.002571084856754169,0.002754520668531768,0.002937956480309367,0.0031213922920869663,0.0033048281038645655,0.0034882639156421646,0.003671699727419764,0.003855135539197363,0.004038571350974962,0.004222007162752561,0.00440544297453016,0.00458887878630776,0.004772314598085359,0.004955750409862958,0.005139186221640557,0.005322622033418156,0.005506057845195755,0.0056894936569733545,0.005872929468750954]}"
"1388","{""_type"":""histogram"",""values"":[1,0,2,0,1,5,2,5,5,7,8,12,13,24,33,37,55,62,86,136,167,255,324,464,635,819,1113,1536,1951,2104,2043,1633,1224,944,735,532,404,271,189,154,118,77,73,47,30,31,21,8,11,6,7,3,2,2,1,1,0,0,1,0,0,1,0,1],""bins"":[-0.0072339558973908424,-0.0069883952382951975,-0.0067428345791995525,-0.006497273920103908,-0.006251713261008263,-0.006006152601912618,-0.005760591942816973,-0.005515031283721328,-0.005269470624625683,-0.005023909965530038,-0.004778349306434393,-0.004532788647338748,-0.004287227988243103,-0.004041667329147458,-0.003796106670051813,-0.003550546010956168,-0.0033049853518605232,-0.0030594246927648783,-0.0028138640336692333,-0.0025683033745735884,-0.0023227427154779434,-0.0020771820563822985,-0.0018316213972866535,-0.0015860607381910086,-0.0013405000790953636,-0.0010949394199997187,-0.0008493787609040737,-0.0006038181018084288,-0.0003582574427127838,-0.00011269678361713886,0.0001328638754785061,0.00037842453457415104,0.000623985193669796,0.0008695458527654409,0.001115106511861086,0.0013606671709567308,0.0016062278300523758,0.0018517884891480207,0.0020973491482436657,0.0023429098073393106,0.0025884704664349556,0.0028340311255306005,0.0030795917846262455,0.0033251524437218904,0.0035707131028175354,0.0038162737619131804,0.004061834421008825,0.00430739508010447,0.004552955739200115,0.00479851639829576,0.005044077057391405,0.00528963771648705,0.005535198375582695,0.00578075903467834,0.006026319693773985,0.00627188035286963,0.006517441011965275,0.00676300167106092,0.007008562330156565,0.00725412298925221,0.007499683648347855,0.0077452443074434996,0.007990804966539145,0.00823636562563479,0.008481926284730434]}"
"1397","{""values"":[1,1,0,1,0,1,0,1,4,4,7,8,11,10,15,29,42,39,73,100,154,203,227,368,463,691,929,1223,1491,1727,1903,1845,1675,1317,1055,757,592,414,308,244,141,93,58,60,44,32,26,16,9,3,2,2,5,2,1,0,1,2,0,1,0,0,0,1],""_type"":""histogram"",""bins"":[-0.007933061569929123,-0.007674489985220134,-0.007415918400511146,-0.007157346815802157,-0.006898775231093168,-0.00664020364638418,-0.006381632061675191,-0.006123060476966202,-0.005864488892257214,-0.005605917307548225,-0.005347345722839236,-0.005088774138130248,-0.004830202553421259,-0.00457163096871227,-0.004313059384003282,-0.004054487799294293,-0.0037959162145853043,-0.0035373446298763156,-0.003278773045167327,-0.0030202014604583383,-0.0027616298757493496,-0.002503058291040361,-0.0022444867063313723,-0.0019859151216223836,-0.001727343536913395,-0.0014687719522044063,-0.0012102003674954176,-0.0009516287827864289,-0.0006930571980774403,-0.0004344856133684516,-0.00017591402865946293,0.00008265755604952574,0.0003412291407585144,0.0005998007254675031,0.0008583723101764917,0.0011169438948854804,0.001375515479594469,0.0016340870643034577,0.0018926586490124464,0.002151230233721435,0.0024098018184304237,0.0026683734031394124,0.002926944987848401,0.0031855165725573897,0.0034440881572663784,0.003702659741975367,0.003961231326684356,0.004219802911393344,0.004478374496102333,0.004736946080811322,0.00499551766552031,0.005254089250229299,0.005512660834938288,0.005771232419647276,0.006029804004356265,0.006288375589065254,0.006546947173774242,0.006805518758483231,0.00706409034319222,0.007322661927901208,0.007581233512610197,0.007839805097319186,0.008098376682028174,0.008356948266737163,0.008615519851446152]}"
"1406","{""values"":[2,0,0,1,1,0,5,3,3,15,16,21,29,31,59,97,153,218,320,493,633,891,1142,1454,1800,1913,2026,1790,1497,1159,753,551,390,316,193,128,110,61,60,37,22,8,10,6,7,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[-0.0060035609640181065,-0.00577316864655586,-0.005542776329093613,-0.005312384011631366,-0.005081991694169119,-0.004851599376706872,-0.004621207059244625,-0.004390814741782378,-0.0041604224243201315,-0.003930030106857885,-0.003699637789395638,-0.003469245471933391,-0.003238853154471144,-0.003008460837008897,-0.0027780685195466504,-0.0025476762020844035,-0.0023172838846221566,-0.0020868915671599098,-0.0018564992496976629,-0.001626106932235416,-0.0013957146147731692,-0.0011653222973109223,-0.0009349299798486754,-0.0007045376623864286,-0.0004741453449241817,-0.00024375302746193483,-0.00001336070999968797,0.0002170316074625589,0.00044742392492480576,0.0006778162423870526,0.0009082085598492995,0.0011386008773115464,0.0013689931947737932,0.00159938551223604,0.001829777829698287,0.002060170147160534,0.0022905624646227807,0.0025209547820850275,0.0027513470995472744,0.0029817394170095213,0.003212131734471768,0.003442524051934015,0.003672916369396262,0.0039033086868585087,0.004133701004320756,0.0043640933217830025,0.004594485639245249,0.004824877956707496,0.005055270274169743,0.00528566259163199,0.005516054909094237,0.005746447226556484,0.0059768395440187305,0.006207231861480977,0.006437624178943224,0.006668016496405471,0.006898408813867718,0.007128801131329965,0.007359193448792212,0.007589585766254459,0.007819978083716705,0.008050370401178952,0.0082807627186412,0.008511155036103446,0.008741547353565693]}"
"1415","{""values"":[1,2,1,1,1,2,5,5,9,8,12,18,28,28,35,61,82,88,153,198,261,336,513,689,956,1288,1611,1912,2090,1853,1530,1240,895,683,481,376,267,175,123,101,85,52,41,41,20,20,11,11,5,9,7,2,2,2,1,2,1,1,0,0,0,0,0,1],""_type"":""histogram"",""bins"":[-0.006173333153128624,-0.0059549568832153454,-0.005736580613302067,-0.005518204343388788,-0.00529982807347551,-0.005081451803562231,-0.004863075533648953,-0.004644699263735674,-0.004426322993822396,-0.004207946723909117,-0.003989570453995839,-0.0037711941840825602,-0.0035528179141692817,-0.003334441644256003,-0.0031160653743427247,-0.002897689104429446,-0.0026793128345161676,-0.002460936564602889,-0.0022425602946896106,-0.002024184024776332,-0.0018058077548630536,-0.001587431484949775,-0.0013690552150364965,-0.001150678945123218,-0.0009323026752099395,-0.000713926405296661,-0.0004955501353833824,-0.0002771738654701039,-0.0000587975955568254,0.00015957867435645312,0.00037795494426973164,0.0005963312141830102,0.0008147074840962887,0.0010330837540095672,0.0012514600239228457,0.0014698362938361242,0.0016882125637494028,0.0019065888336626813,0.00212496510357596,0.0023433413734892383,0.002561717643402517,0.0027800939133157954,0.002998470183229074,0.0032168464531423524,0.003435222723055631,0.0036535989929689094,0.003871975262882188,0.0040903515327954665,0.004308727802708745,0.0045271040726220235,0.004745480342535302,0.0049638566124485806,0.005182232882361859,0.005400609152275138,0.005618985422188416,0.005837361692101695,0.006055737962014973,0.006274114231928252,0.00649249050184153,0.006710866771754809,0.006929243041668087,0.007147619311581366,0.007365995581494644,0.007584371851407923,0.007802748121321201]}"
"1425","{""_type"":""histogram"",""values"":[2,0,1,1,1,2,4,6,6,5,5,19,20,9,32,29,37,69,74,93,162,186,264,285,434,546,680,903,1098,1280,1473,1614,1574,1510,1309,1058,854,653,489,449,298,230,167,131,94,67,58,37,27,20,10,11,13,14,1,4,1,2,5,2,2,0,1,1],""bins"":[-0.004982885904610157,-0.004827341414056718,-0.00467179692350328,-0.004516252432949841,-0.004360707942396402,-0.004205163451842964,-0.004049618961289525,-0.0038940744707360864,-0.0037385299801826477,-0.003582985489629209,-0.0034274409990757704,-0.0032718965085223317,-0.003116352017968893,-0.0029608075274154544,-0.0028052630368620157,-0.002649718546308577,-0.0024941740557551384,-0.0023386295652016997,-0.002183085074648261,-0.0020275405840948224,-0.0018719960935413837,-0.001716451602987945,-0.0015609071124345064,-0.0014053626218810678,-0.001249818131327629,-0.0010942736407741904,-0.0009387291502207518,-0.0007831846596673131,-0.0006276401691138744,-0.00047209567856043577,-0.0003165511880069971,-0.00016100669745355844,-0.0000054622069001197815,0.00015008228365331888,0.00030562677420675755,0.0004611712647601962,0.0006167157553136349,0.0007722602458670735,0.0009278047364205122,0.0010833492269739509,0.0012388937175273895,0.0013944382080808282,0.0015499826986342669,0.0017055271891877055,0.0018610716797411442,0.002016616170294583,0.0021721606608480215,0.00232770515140146,0.002483249641954899,0.0026387941325083375,0.002794338623061776,0.002949883113615215,0.0031054276041686535,0.003260972094722092,0.003416516585275531,0.0035720610758289695,0.003727605566382408,0.003883150056935847,0.0040386945474892855,0.004194239038042724,0.004349783528596163,0.0045053280191496015,0.00466087250970304,0.004816417000256479,0.0049719614908099174]}"
"1434","{""values"":[1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,2,4,0,5,5,4,6,15,27,25,47,60,91,159,181,295,393,583,949,1234,1736,2226,2432,2203,1750,1296,899,611,385,255,169,113,84,61,36,24,21,12,7,11,5,1,2,1,0,1,2],""_type"":""histogram"",""bins"":[-0.011422599665820599,-0.011134660890093073,-0.010846722114365548,-0.010558783338638023,-0.010270844562910497,-0.009982905787182972,-0.009694967011455446,-0.009407028235727921,-0.009119089460000396,-0.00883115068427287,-0.008543211908545345,-0.00825527313281782,-0.007967334357090294,-0.007679395581362769,-0.007391456805635244,-0.007103518029907718,-0.006815579254180193,-0.006527640478452668,-0.006239701702725142,-0.005951762926997617,-0.0056638241512700915,-0.005375885375542566,-0.005087946599815041,-0.0048000078240875155,-0.00451206904835999,-0.004224130272632465,-0.003936191496904939,-0.003648252721177414,-0.0033603139454498887,-0.0030723751697223634,-0.002784436393994838,-0.0024964976182673126,-0.0022085588425397873,-0.001920620066812262,-0.0016326812910847366,-0.0013447425153572112,-0.0010568037396296859,-0.0007688649639021605,-0.00048092618817463517,-0.00019298741244710982,0.00009495136328041553,0.0003828901390079409,0.0006708289147354662,0.0009587676904629916,0.001246706466190517,0.0015346452419180423,0.0018225840176455677,0.002110522793373093,0.0023984615691006184,0.0026864003448281437,0.002974339120555669,0.0032622778962831944,0.0035502166720107198,0.003838155447738245,0.0041260942234657705,0.004414032999193296,0.004701971774920821,0.0049899105506483465,0.005277849326375872,0.005565788102103397,0.005853726877830923,0.006141665653558448,0.006429604429285973,0.006717543205013499,0.007005481980741024]}"
"1443","{""values"":[2,1,1,1,1,2,6,10,7,15,25,29,40,64,102,132,180,246,382,495,655,978,1285,1550,1799,1962,1930,1604,1262,1002,721,560,408,272,199,122,135,60,54,37,28,10,13,12,7,8,3,2,3,2,2,1,1,2,0,0,0,0,0,0,0,0,0,2],""_type"":""histogram"",""bins"":[-0.00489165959879756,-0.004701083940744866,-0.004510508282692172,-0.004319932624639478,-0.0041293569665867835,-0.0039387813085340895,-0.0037482056504813954,-0.0035576299924287014,-0.0033670543343760073,-0.0031764786763233133,-0.002985903018270619,-0.002795327360217925,-0.002604751702165231,-0.002414176044112537,-0.002223600386059843,-0.002033024728007149,-0.001842449069954455,-0.0016518734119017608,-0.0014612977538490668,-0.0012707220957963727,-0.0010801464377436787,-0.0008895707796909846,-0.0006989951216382906,-0.0005084194635855965,-0.0003178438055329025,-0.00012726814748020843,0.00006330751057248563,0.0002538831686251797,0.00044445882667787373,0.0006350344847305678,0.0008256101427832618,0.0010161858008359559,0.00120676145888865,0.001397337116941344,0.001587912774994038,0.001778488433046732,0.001969064091099426,0.00215963974915212,0.0023502154072048143,0.0025407910652575083,0.0027313667233102024,0.0029219423813628964,0.0031125180394155905,0.0033030936974682845,0.0034936693555209786,0.0036842450135736726,0.0038748206716263667,0.004065396329679061,0.004255971987731755,0.004446547645784449,0.004637123303837143,0.004827698961889837,0.005018274619942531,0.005208850277995225,0.005399425936047919,0.005590001594100613,0.005780577252153307,0.005971152910206001,0.006161728568258695,0.006352304226311389,0.006542879884364083,0.0067334555424167775,0.0069240312004694715,0.007114606858522166,0.00730518251657486]}"
"1453","{""values"":[1,0,1,0,0,0,0,1,0,0,1,5,4,11,8,9,16,20,35,39,71,86,101,137,213,273,380,514,698,929,1179,1408,1649,1810,1676,1546,1286,978,794,628,487,394,263,213,141,114,78,57,44,45,32,19,12,12,1,7,0,1,2,1,0,1,0,1],""_type"":""histogram"",""bins"":[-0.00614579813554883,-0.005964393123576883,-0.005782988111604936,-0.00560158309963299,-0.005420178087661043,-0.005238773075689096,-0.005057368063717149,-0.004875963051745202,-0.004694558039773256,-0.004513153027801309,-0.004331748015829362,-0.004150343003857415,-0.003968937991885468,-0.0037875329799135216,-0.0036061279679415748,-0.003424722955969628,-0.003243317943997681,-0.0030619129320257343,-0.0028805079200537875,-0.0026991029080818407,-0.002517697896109894,-0.002336292884137947,-0.0021548878721660003,-0.0019734828601940535,-0.0017920778482221067,-0.0016106728362501599,-0.001429267824278213,-0.0012478628123062663,-0.0010664578003343195,-0.0008850527883623727,-0.0007036477763904259,-0.0005222427644184791,-0.00034083775244653225,-0.00015943274047458544,0.000021972271497361362,0.00020337728346930817,0.000384782295441255,0.0005661873074132018,0.0007475923193851486,0.0009289973313570954,0.0011104023433290422,0.001291807355300989,0.0014732123672729358,0.0016546173792448826,0.0018360223912168294,0.0020174274031887762,0.002198832415160723,0.00238023742713267,0.0025616424391046166,0.0027430474510765634,0.0029244524630485103,0.003105857475020457,0.003287262486992404,0.0034686674989643507,0.0036500725109362975,0.0038314775229082443,0.004012882534880191,0.004194287546852138,0.004375692558824085,0.0045570975707960315,0.004738502582767978,0.004919907594739925,0.005101312606711872,0.005282717618683819,0.0054641226306557655]}"
"1463","{""values"":[1,0,0,0,3,5,2,5,7,8,9,11,16,25,26,46,58,73,112,149,225,285,406,489,670,936,1181,1455,1687,1759,1752,1555,1282,991,796,594,447,333,241,208,140,106,79,53,46,25,30,16,13,19,17,7,6,7,4,4,3,3,1,1,0,2,1,1],""_type"":""histogram"",""bins"":[-0.006396826356649399,-0.006180627322464716,-0.005964428288280033,-0.0057482292540953495,-0.005532030219910666,-0.005315831185725983,-0.0050996321515413,-0.004883433117356617,-0.004667234083171934,-0.004451035048987251,-0.004234836014802568,-0.0040186369806178845,-0.0038024379464332014,-0.0035862389122485183,-0.003370039878063835,-0.003153840843879152,-0.002937641809694469,-0.002721442775509786,-0.0025052437413251027,-0.0022890447071404196,-0.0020728456729557365,-0.0018566466387710534,-0.0016404476045863703,-0.0014242485704016872,-0.001208049536217004,-0.000991850502032321,-0.0007756514678476378,-0.0005594524336629547,-0.0003432533994782716,-0.0001270543652935885,0.00008914466889109462,0.00030534370307577774,0.0005215427372604609,0.000737741771445144,0.0009539408056298271,0.0011701398398145102,0.0013863388739991933,0.0016025379081838764,0.0018187369423685595,0.0020349359765532427,0.0022511350107379258,0.002467334044922609,0.002683533079107292,0.002899732113291975,0.0031159311474766582,0.0033321301816613413,0.0035483292158460245,0.0037645282500307076,0.003980727284215391,0.004196926318400074,0.004413125352584757,0.00462932438676944,0.004845523420954123,0.005061722455138806,0.005277921489323489,0.0054941205235081725,0.005710319557692856,0.005926518591877539,0.006142717626062222,0.006358916660246905,0.006575115694431588,0.006791314728616271,0.007007513762800954,0.007223712796985637,0.0074399118311703205]}"
"1472","{""_type"":""histogram"",""values"":[1,2,4,4,5,7,8,10,15,31,53,90,112,188,305,410,645,933,1243,1792,2191,2368,2150,1801,1343,926,586,399,276,161,122,83,61,35,19,14,11,6,5,4,4,2,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1],""bins"":[-0.0050069838762283325,-0.004774595494382083,-0.004542207112535834,-0.004309818730689585,-0.004077430348843336,-0.003845041966997087,-0.003612653585150838,-0.003380265203304589,-0.0031478768214583397,-0.0029154884396120906,-0.0026831000577658415,-0.0024507116759195924,-0.0022183232940733433,-0.001985934912227094,-0.001753546530380845,-0.001521158148534596,-0.0012887697666883469,-0.0010563813848420978,-0.0008239930029958487,-0.0005916046211495996,-0.00035921623930335045,-0.00012682785745710135,0.00010556052438914776,0.00033794890623539686,0.000570337288081646,0.0008027256699278951,0.0010351140517741442,0.0012675024336203933,0.0014998908154666424,0.0017322791973128915,0.0019646675791591406,0.0021970559610053897,0.002429444342851639,0.002661832724697888,0.002894221106544137,0.003126609488390386,0.003358997870236635,0.0035913862520828843,0.0038237746339291334,0.0040561630157753825,0.004288551397621632,0.004520939779467881,0.00475332816131413,0.004985716543160379,0.005218104925006628,0.005450493306852877,0.005682881688699126,0.005915270070545375,0.0061476584523916245,0.0063800468342378736,0.006612435216084123,0.006844823597930372,0.007077211979776621,0.00730960036162287,0.007541988743469119,0.007774377125315368,0.008006765507161617,0.008239153889007866,0.008471542270854115,0.008703930652700365,0.008936319034546614,0.009168707416392863,0.009401095798239112,0.009633484180085361,0.00986587256193161]}"
"1481","{""_type"":""histogram"",""values"":[1,1,1,0,2,1,2,6,6,4,7,14,27,24,27,33,47,80,86,105,154,193,271,346,439,604,769,966,1162,1420,1585,1626,1499,1368,1171,990,862,643,505,404,270,201,149,103,63,60,36,27,21,13,8,5,2,3,3,5,4,2,2,0,0,1,2,1],""bins"":[-0.005606484599411488,-0.005429559481854085,-0.005252634364296682,-0.0050757092467392795,-0.004898784129181877,-0.004721859011624474,-0.004544933894067071,-0.004368008776509669,-0.004191083658952266,-0.004014158541394863,-0.0038372334238374606,-0.003660308306280058,-0.003483383188722655,-0.0033064580711652525,-0.0031295329536078498,-0.002952607836050447,-0.0027756827184930444,-0.0025987576009356417,-0.002421832483378239,-0.0022449073658208363,-0.0020679822482634336,-0.0018910571307060309,-0.0017141320131486282,-0.0015372068955912255,-0.0013602817780338228,-0.00118335666047642,-0.0010064315429190174,-0.0008295064253616147,-0.000652581307804212,-0.0004756561902468093,-0.0002987310726894066,-0.00012180595513200387,0.000055119162425398827,0.00023204427998280153,0.0004089693975402042,0.0005858945150976069,0.0007628196326550096,0.0009397447502124123,0.001116669867769815,0.0012935949853272177,0.0014705201028846204,0.0016474452204420231,0.0018243703379994258,0.0020012954555568285,0.0021782205731142312,0.002355145690671634,0.0025320708082290366,0.0027089959257864393,0.002885921043343842,0.0030628461609012447,0.0032397712784586474,0.00341669639601605,0.003593621513573453,0.0037705466311308555,0.003947471748688258,0.004124396866245661,0.004301321983803064,0.004478247101360466,0.004655172218917869,0.004832097336475272,0.005009022454032674,0.005185947571590077,0.00536287268914748,0.0055397978067048825,0.005716722924262285]}"
"1491","{""values"":[2,0,0,1,1,2,1,4,11,7,9,11,17,22,37,45,49,106,102,118,187,281,376,516,702,931,1161,1566,1709,1819,1760,1582,1338,1061,807,589,429,335,242,142,98,80,52,38,23,19,19,6,4,4,2,0,3,0,3,0,0,1,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[-0.0058952998369932175,-0.005694485364074353,-0.005493670891155489,-0.0052928564182366244,-0.00509204194531776,-0.004891227472398896,-0.004690412999480031,-0.004489598526561167,-0.004288784053642303,-0.004087969580723438,-0.003887155107804574,-0.0036863406348857097,-0.0034855261619668454,-0.003284711689047981,-0.0030838972161291167,-0.0028830827432102524,-0.002682268270291388,-0.0024814537973725237,-0.0022806393244536594,-0.002079824851534795,-0.0018790103786159307,-0.0016781959056970663,-0.001477381432778202,-0.0012765669598593377,-0.0010757524869404733,-0.000874938014021609,-0.0006741235411027446,-0.0004733090681838803,-0.00027249459526501596,-0.00007168012234615162,0.00012913435057271272,0.00032994882349157706,0.0005307632964104414,0.0007315777693293057,0.0009323922422481701,0.0011332067151670344,0.0013340211880858988,0.001534835661004763,0.0017356501339236274,0.0019364646068424918,0.002137279079761356,0.0023380935526802205,0.002538908025599085,0.002739722498517949,0.0029405369714368135,0.003141351444355678,0.003342165917274542,0.0035429803901934065,0.003743794863112271,0.003944609336031135,0.0041454238089499995,0.004346238281868864,0.004547052754787728,0.0047478672277065925,0.004948681700625457,0.005149496173544321,0.0053503106464631855,0.00555112511938205,0.005751939592300914,0.005952754065219779,0.006153568538138643,0.006354383011057507,0.006555197483976372,0.006756011956895236,0.0069568264298141]}"
"1500","{""values"":[1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,7,4,5,9,22,16,37,50,59,98,148,224,308,456,678,1021,1369,1819,2204,2291,2050,1699,1187,833,601,432,263,179,109,56,64,32,21,23,16,12,6,7,5,2,0,2,0,0,0,1,0,0,1],""_type"":""histogram"",""bins"":[-0.01011916995048523,-0.009824836015468463,-0.009530502080451697,-0.009236168145434931,-0.008941834210418165,-0.008647500275401399,-0.008353166340384632,-0.008058832405367866,-0.0077644984703511,-0.007470164535334334,-0.007175830600317568,-0.006881496665300801,-0.006587162730284035,-0.006292828795267269,-0.005998494860250503,-0.005704160925233737,-0.0054098269902169704,-0.005115493055200204,-0.004821159120183438,-0.004526825185166672,-0.004232491250149906,-0.0039381573151331395,-0.0036438233801163733,-0.003349489445099607,-0.003055155510082841,-0.0027608215750660747,-0.0024664876400493085,-0.0021721537050325423,-0.0018778197700157762,-0.00158348583499901,-0.0012891518999822438,-0.0009948179649654776,-0.0007004840299487114,-0.0004061500949319452,-0.00011181615991517901,0.00018251777510158718,0.00047685171011835337,0.0007711856451351196,0.0010655195801518857,0.001359853515168652,0.0016541874501854181,0.0019485213852021843,0.0022428553202189505,0.0025371892552357167,0.002831523190252483,0.003125857125269249,0.0034201910602860153,0.0037145249953027815,0.004008858930319548,0.004303192865336314,0.00459752680035308,0.004891860735369846,0.005186194670386612,0.005480528605403379,0.005774862540420145,0.006069196475436911,0.006363530410453677,0.006657864345470443,0.0069521982804872096,0.007246532215503976,0.007540866150520742,0.007835200085537508,0.008129534020554274,0.00842386795557104,0.008718201890587807]}"
"1509","{""values"":[1,0,0,0,1,0,2,2,3,3,2,6,5,7,14,20,24,32,47,57,82,118,132,176,235,280,409,571,698,873,1097,1323,1533,1601,1650,1470,1215,1004,885,655,526,393,318,239,191,130,97,73,66,38,24,27,15,18,8,8,4,10,3,2,5,1,0,3],""_type"":""histogram"",""bins"":[-0.006254411768168211,-0.006068426744604949,-0.005882441721041687,-0.005696456697478425,-0.005510471673915163,-0.005324486650351901,-0.0051385016267886385,-0.0049525166032253765,-0.004766531579662114,-0.004580546556098852,-0.00439456153253559,-0.004208576508972328,-0.004022591485409066,-0.003836606461845804,-0.003650621438282542,-0.00346463641471928,-0.0032786513911560178,-0.0030926663675927557,-0.0029066813440294936,-0.0027206963204662316,-0.0025347112969029695,-0.0023487262733397074,-0.0021627412497764453,-0.0019767562262131833,-0.0017907712026499212,-0.001604786179086659,-0.001418801155523397,-0.001232816131960135,-0.0010468311083968729,-0.0008608460848336108,-0.0006748610612703487,-0.0004888760377070867,-0.0003028910141438246,-0.0001169059905805625,0.00006907903298269957,0.00025506405654596165,0.0004410490801092237,0.0006270341036724858,0.0008130191272357479,0.00099900415079901,0.001184989174362272,0.001370974197925534,0.0015569592214887962,0.0017429442450520582,0.0019289292686153203,0.0021149142921785824,0.0023008993157418445,0.0024868843393051066,0.0026728693628683686,0.0028588543864316307,0.0030448394099948928,0.003230824433558155,0.003416809457121417,0.003602794480684679,0.003788779504247941,0.003974764527811203,0.004160749551374465,0.004346734574937727,0.004532719598500989,0.0047187046220642515,0.0049046896456275135,0.005090674669190776,0.005276659692754038,0.0054626447163173,0.005648629739880562]}"
