"Step","Conv-Residual-56Layers - gradients/layer3.0.conv1.weight"
"1546","{""_type"":""histogram"",""values"":[1,0,0,2,3,2,3,4,7,7,12,28,24,39,42,61,78,104,140,195,240,282,393,456,588,746,834,1003,1117,1176,1330,1380,1275,1137,1077,852,810,617,526,387,323,275,204,150,128,91,72,49,34,32,25,18,8,12,11,7,3,3,3,1,1,1,1,2],""bins"":[-0.006840082351118326,-0.00662128662224859,-0.006402490893378854,-0.006183695164509118,-0.005964899435639381,-0.005746103706769645,-0.005527307977899909,-0.005308512249030173,-0.005089716520160437,-0.0048709207912907004,-0.004652125062420964,-0.004433329333551228,-0.004214533604681492,-0.003995737875811756,-0.0037769421469420195,-0.0035581464180722833,-0.003339350689202547,-0.003120554960332811,-0.0029017592314630747,-0.0026829635025933385,-0.0024641677737236023,-0.002245372044853866,-0.00202657631598413,-0.0018077805871143937,-0.0015889848582446575,-0.0013701891293749213,-0.0011513934005051851,-0.0009325976716354489,-0.0007138019427657127,-0.0004950062138959765,-0.00027621048502624035,-0.000057414756156504154,0.00016138097271323204,0.00038017670158296824,0.0005989724304527044,0.0008177681593224406,0.0010365638881921768,0.001255359617061913,0.0014741553459316492,0.0016929510748013854,0.0019117468036711216,0.002130542532540858,0.002349338261410594,0.00256813399028033,0.0027869297191500664,0.0030057254480198026,0.0032245211768895388,0.003443316905759275,0.003662112634629011,0.0038809083634987473,0.0040997040923684835,0.00431849982123822,0.004537295550107956,0.004756091278977692,0.004974887007847428,0.0051936827367171645,0.005412478465586901,0.005631274194456637,0.005850069923326373,0.006068865652196109,0.0062876613810658455,0.006506457109935582,0.006725252838805318,0.006944048567675054,0.00716284429654479]}"
"1556","{""_type"":""histogram"",""values"":[1,1,4,4,3,6,6,15,19,26,47,46,57,78,90,127,166,206,246,322,408,482,568,746,875,989,1074,1226,1227,1301,1224,1142,977,875,739,599,514,396,328,268,216,171,122,110,97,77,36,25,37,23,31,6,7,16,2,5,4,3,9,3,1,1,1,1],""bins"":[-0.008638456463813782,-0.008338103798450902,-0.008037751133088022,-0.007737398467725143,-0.007437045802362263,-0.007136693136999384,-0.006836340471636504,-0.006535987806273624,-0.006235635140910745,-0.005935282475547865,-0.005634929810184985,-0.005334577144822106,-0.005034224479459226,-0.0047338718140963465,-0.004433519148733467,-0.004133166483370587,-0.0038328138180077076,-0.003532461152644828,-0.0032321084872819483,-0.0029317558219190687,-0.002631403156556189,-0.0023310504911933094,-0.00203069782583043,-0.0017303451604675502,-0.0014299924951046705,-0.0011296398297417909,-0.0008292871643789113,-0.0005289344990160316,-0.000228581833653152,0.00007177083170972764,0.0003721234970726073,0.0006724761624354869,0.0009728288277983665,0.0012731814931612462,0.0015735341585241258,0.0018738868238870054,0.002174239489249885,0.0024745921546127647,0.0027749448199756444,0.003075297485338524,0.0033756501507014036,0.0036760028160642833,0.003976355481427163,0.0042767081467900425,0.004577060812152922,0.004877413477515802,0.005177766142878681,0.005478118808241561,0.005778471473604441,0.00607882413896732,0.0063791768043302,0.00667952946969308,0.006979882135055959,0.007280234800418839,0.0075805874657817185,0.007880940131144598,0.008181292796507478,0.008481645461870357,0.008781998127233237,0.009082350792596117,0.009382703457958996,0.009683056123321876,0.009983408788684756,0.010283761454047635,0.010584114119410515]}"
"1566","{""values"":[1,3,1,4,3,1,2,4,5,11,18,27,27,43,59,71,112,116,144,231,258,342,463,575,732,933,1082,1242,1391,1494,1486,1364,1199,1037,893,689,544,412,321,250,186,146,114,99,78,41,36,30,23,21,18,12,9,5,5,2,7,1,1,1,2,2,1,2],""_type"":""histogram"",""bins"":[-0.00613782973960042,-0.005931104831688572,-0.0057243799237767234,-0.005517655015864875,-0.005310930107953027,-0.005104205200041179,-0.00489748029212933,-0.004690755384217482,-0.004484030476305634,-0.0042773055683937855,-0.004070580660481937,-0.003863855752570089,-0.0036571308446582407,-0.0034504059367463924,-0.003243681028834544,-0.003036956120922696,-0.0028302312130108476,-0.0026235063050989993,-0.002416781397187151,-0.0022100564892753027,-0.0020033315813634545,-0.0017966066734516062,-0.001589881765539758,-0.0013831568576279096,-0.0011764319497160614,-0.0009697070418042131,-0.0007629821338923648,-0.0005562572259805165,-0.00034953231806866825,-0.00014280741015681997,0.00006391749775502831,0.0002706424056668766,0.00047736731357872486,0.0006840922214905731,0.0008908171294024214,0.0010975420373142697,0.001304266945226118,0.0015109918531379662,0.0017177167610498145,0.0019244416689616628,0.002131166576873511,0.0023378914847853594,0.0025446163926972076,0.002751341300609056,0.002958066208520904,0.0031647911164327525,0.0033715160243446007,0.003578240932256449,0.0037849658401682973,0.003991690748080146,0.004198415655991994,0.004405140563903842,0.00461186547181569,0.004818590379727539,0.005025315287639387,0.005232040195551235,0.0054387651034630835,0.005645490011374932,0.00585221491928678,0.006058939827198628,0.006265664735110477,0.006472389643022325,0.006679114550934173,0.0068858394588460214,0.00709256436675787]}"
"1575","{""_type"":""histogram"",""values"":[2,0,0,3,3,3,10,6,13,8,21,31,52,88,118,182,200,301,466,577,757,986,1224,1402,1562,1719,1615,1406,1177,1090,850,611,516,401,266,190,159,105,67,64,43,37,22,17,9,14,12,6,5,4,3,4,1,2,0,0,1,0,0,0,0,0,0,1],""bins"":[-0.005955410189926624,-0.005723408714402467,-0.00549140723887831,-0.0052594057633541524,-0.005027404287829995,-0.004795402812305838,-0.004563401336781681,-0.004331399861257523,-0.004099398385733366,-0.0038673969102092087,-0.0036353954346850514,-0.003403393959160894,-0.003171392483636737,-0.0029393910081125796,-0.0027073895325884223,-0.002475388057064265,-0.0022433865815401077,-0.0020113851060159504,-0.0017793836304917932,-0.0015473821549676359,-0.0013153806794434786,-0.0010833792039193213,-0.000851377728395164,-0.0006193762528710067,-0.00038737477734684944,-0.00015537330182269216,0.00007662817370146513,0.0003086296492256224,0.0005406311247497797,0.000772632600273937,0.0010046340757980943,0.0012366355513222516,0.0014686370268464088,0.0017006385023705661,0.0019326399778947234,0.0021646414534188807,0.002396642928943038,0.0026286444044671953,0.0028606458799913526,0.00309264735551551,0.003324648831039667,0.0035566503065638244,0.0037886517820879817,0.004020653257612139,0.004252654733136296,0.0044846562086604536,0.004716657684184611,0.004948659159708768,0.005180660635232925,0.005412662110757083,0.00564466358628124,0.005876665061805397,0.0061086665373295546,0.006340668012853712,0.006572669488377869,0.006804670963902026,0.007036672439426184,0.007268673914950341,0.007500675390474498,0.0077326768659986556,0.007964678341522813,0.00819667981704697,0.008428681292571127,0.008660682768095285,0.008892684243619442]}"
"1585","{""_type"":""histogram"",""values"":[1,0,0,0,1,1,0,1,0,0,1,6,8,4,12,19,23,26,48,78,92,114,160,197,257,405,459,622,711,950,1086,1290,1351,1409,1393,1312,1221,1030,847,705,570,471,360,280,236,170,114,97,62,62,41,42,29,11,10,6,4,4,6,4,6,4,2,1],""bins"":[-0.0064041768200695515,-0.006215264700585976,-0.006026352581102401,-0.005837440461618826,-0.005648528342135251,-0.005459616222651675,-0.0052707041031681,-0.005081791983684525,-0.00489287986420095,-0.0047039677447173744,-0.004515055625233799,-0.004326143505750224,-0.004137231386266649,-0.0039483192667830735,-0.0037594071472994983,-0.003570495027815923,-0.003381582908332348,-0.0031926707888487726,-0.0030037586693651974,-0.002814846549881622,-0.002625934430398047,-0.0024370223109144717,-0.0022481101914308965,-0.0020591980719473213,-0.001870285952463746,-0.0016813738329801708,-0.0014924617134965956,-0.0013035495940130204,-0.0011146374745294452,-0.00092572535504587,-0.0007368132355622947,-0.0005479011160787195,-0.00035898899659514427,-0.00017007687711156905,0.000018835242372006178,0.0002077473618555814,0.00039665948133915663,0.0005855716008227319,0.0007744837203063071,0.0009633958397898823,0.0011523079592734575,0.0013412200787570328,0.001530132198240608,0.0017190443177241832,0.0019079564372077584,0.0020968685566913337,0.002285780676174909,0.002474692795658484,0.0026636049151420593,0.0028525170346256346,0.0030414291541092098,0.003230341273592785,0.0034192533930763602,0.0036081655125599355,0.0037970776320435107,0.003985989751527086,0.004174901871010661,0.004363813990494236,0.004552726109977812,0.004741638229461387,0.004930550348944962,0.005119462468428537,0.0053083745879121125,0.005497286707395688,0.005686198826879263]}"
"1594","{""values"":[1,0,0,2,2,7,3,5,10,8,15,17,29,37,54,68,99,126,167,210,256,367,439,576,677,853,991,1074,1288,1375,1370,1375,1207,1088,945,743,652,523,423,309,230,207,131,123,90,63,52,46,27,20,12,9,11,5,4,3,3,1,0,1,0,1,0,2],""_type"":""histogram"",""bins"":[-0.006858393549919128,-0.0066318202880211174,-0.0064052470261231065,-0.0061786737642250955,-0.0059521005023270845,-0.005725527240429074,-0.005498953978531063,-0.005272380716633052,-0.005045807454735041,-0.00481923419283703,-0.004592660930939019,-0.004366087669041008,-0.004139514407142997,-0.003912941145244986,-0.003686367883346975,-0.003459794621448964,-0.003233221359550953,-0.003006648097652942,-0.002780074835754931,-0.00255350157385692,-0.002326928311958909,-0.002100355050060898,-0.001873781788162887,-0.0016472085262648761,-0.0014206352643668652,-0.0011940620024688542,-0.0009674887405708432,-0.0007409154786728323,-0.0005143422167748213,-0.0002877689548768103,-0.00006119569297879934,0.00016537756891921163,0.0003919508308172226,0.0006185240927152336,0.0008450973546132445,0.0010716706165112555,0.0012982438784092665,0.0015248171403072774,0.0017513904022052884,0.0019779636641032994,0.0022045369260013103,0.0024311101878993213,0.0026576834497973323,0.0028842567116953433,0.0031108299735933542,0.003337403235491365,0.003563976497389376,0.003790549759287387,0.004017123021185398,0.004243696283083409,0.00447026954498142,0.004696842806879431,0.004923416068777442,0.005149989330675453,0.005376562592573464,0.005603135854471475,0.005829709116369486,0.006056282378267497,0.006282855640165508,0.006509428902063519,0.00673600216396153,0.006962575425859541,0.007189148687757552,0.007415721949655563,0.007642295211553574]}"
"1603","{""_type"":""histogram"",""values"":[1,0,0,0,0,0,1,0,3,6,11,6,11,13,21,29,32,46,63,84,106,138,188,239,330,381,487,590,766,973,1158,1251,1401,1437,1489,1283,1178,1011,842,670,511,407,316,257,183,130,107,71,51,42,27,20,19,13,8,6,2,5,6,2,1,0,0,3],""bins"":[-0.007236255332827568,-0.007020290169748478,-0.006804325006669387,-0.006588359843590297,-0.006372394680511206,-0.006156429517432116,-0.0059404643543530256,-0.005724499191273935,-0.005508534028194845,-0.005292568865115754,-0.005076603702036664,-0.0048606385389575735,-0.004644673375878483,-0.004428708212799393,-0.004212743049720302,-0.003996777886641212,-0.0037808127235621214,-0.003564847560483031,-0.0033488823974039406,-0.00313291723432485,-0.0029169520712457597,-0.0027009869081666693,-0.002485021745087579,-0.0022690565820084885,-0.002053091418929398,-0.0018371262558503076,-0.0016211610927712172,-0.0014051959296921268,-0.0011892307666130364,-0.000973265603533946,-0.0007573004404548556,-0.0005413352773757651,-0.00032537011429667473,-0.00010940495121758431,0.0001065602118615061,0.0003225253749405965,0.0005384905380196869,0.0007544557010987774,0.0009704208641778678,0.0011863860272569582,0.0014023511903360486,0.001618316353415139,0.0018342815164942294,0.00205024667957332,0.0022662118426524103,0.0024821770057315007,0.002698142168810591,0.0029141073318896815,0.003130072494968772,0.0033460376580478624,0.0035620028211269528,0.003777967984206043,0.003993933147285134,0.004209898310364224,0.004425863473443314,0.004641828636522405,0.004857793799601495,0.005073758962680586,0.005289724125759676,0.0055056892888387665,0.005721654451917857,0.005937619614996947,0.006153584778076038,0.006369549941155128,0.006585515104234219]}"
"1612","{""_type"":""histogram"",""values"":[1,1,0,5,4,2,3,9,11,15,16,26,40,67,81,103,155,175,220,276,367,526,604,842,1025,1161,1405,1410,1540,1440,1299,1145,957,799,637,500,376,309,255,162,135,89,75,38,37,29,12,9,4,2,8,3,4,1,2,4,2,5,2,1,0,0,0,1],""bins"":[-0.007328630890697241,-0.00707213857822353,-0.00681564626574982,-0.006559153953276109,-0.006302661640802398,-0.006046169328328688,-0.005789677015854977,-0.0055331847033812664,-0.005276692390907556,-0.005020200078433845,-0.0047637077659601346,-0.004507215453486424,-0.004250723141012713,-0.003994230828539003,-0.003737738516065292,-0.0034812462035915814,-0.003224753891117871,-0.00296826157864416,-0.0027117692661704496,-0.002455276953696739,-0.0021987846412230283,-0.0019422923287493177,-0.001685800016275607,-0.0014293077038018964,-0.0011728153913281858,-0.0009163230788544752,-0.0006598307663807645,-0.0004033384539070539,-0.0001468461414333433,0.00010964617104036734,0.00036613848351407796,0.0006226307959877886,0.0008791231084614992,0.0011356154209352098,0.0013921077334089205,0.001648600045882631,0.0019050923583563417,0.0021615846708300523,0.002418076983303763,0.0026745692957774736,0.0029310616082511842,0.003187553920724895,0.0034440462331986055,0.003700538545672316,0.003957030858146027,0.004213523170619737,0.004470015483093448,0.004726507795567159,0.004983000108040869,0.00523949242051458,0.0054959847329882905,0.005752477045462001,0.006008969357935712,0.006265461670409422,0.006521953982883133,0.006778446295356844,0.007034938607830554,0.007291430920304265,0.0075479232327779755,0.007804415545251686,0.008060907857725397,0.008317400170199107,0.008573892482672818,0.008830384795146529,0.00908687710762024]}"
"1622","{""_type"":""histogram"",""values"":[1,1,0,3,2,5,6,3,6,18,15,21,32,41,58,68,87,124,197,245,332,435,536,647,795,976,1156,1367,1452,1391,1332,1288,1146,947,785,665,514,447,331,239,166,134,93,80,63,48,28,27,27,11,12,6,9,5,0,2,1,3,0,0,2,0,0,1],""bins"":[-0.008289090357720852,-0.008008184639038518,-0.007727278920356184,-0.00744637320167385,-0.007165467482991517,-0.006884561764309183,-0.006603656045626849,-0.006322750326944515,-0.006041844608262181,-0.0057609388895798475,-0.005480033170897514,-0.00519912745221518,-0.004918221733532846,-0.004637316014850512,-0.004356410296168178,-0.0040755045774858445,-0.0037945988588035107,-0.003513693140121177,-0.003232787421438843,-0.002951881702756509,-0.0026709759840741754,-0.0023900702653918415,-0.0021091645467095077,-0.0018282588280271739,-0.00154735310934484,-0.0012664473906625062,-0.0009855416719801724,-0.0007046359532978386,-0.00042373023461550474,-0.00014282451593317091,0.0001380812027491629,0.00041898692143149674,0.0006998926401138306,0.0009807983587961644,0.0012617040774784982,0.001542609796160832,0.0018235155148431659,0.0021044212335254997,0.0023853269522078335,0.0026662326708901674,0.002947138389572501,0.003228044108254835,0.003508949826937169,0.0037898555456195027,0.0040707612643018365,0.00435166698298417,0.004632572701666504,0.004913478420348838,0.005194384139031172,0.005475289857713506,0.0057561955763958395,0.006037101295078173,0.006318007013760507,0.006598912732442841,0.006879818451125175,0.007160724169807509,0.007441629888489842,0.007722535607172176,0.00800344132585451,0.008284347044536844,0.008565252763219178,0.008846158481901512,0.009127064200583845,0.00940796991926618,0.009688875637948513]}"
"1631","{""values"":[5,1,2,2,7,4,8,12,10,15,19,35,46,65,96,120,193,226,329,423,595,765,951,1130,1334,1460,1520,1544,1447,1273,1089,886,707,515,414,333,213,162,133,96,68,55,43,23,11,9,8,7,6,5,3,1,1,0,2,2,0,0,1,0,1,0,0,1],""_type"":""histogram"",""bins"":[-0.007326295133680105,-0.007055017740640324,-0.006783740347600542,-0.00651246295456076,-0.006241185561520979,-0.005969908168481197,-0.005698630775441416,-0.005427353382401634,-0.005156075989361852,-0.004884798596322071,-0.004613521203282289,-0.004342243810242508,-0.004070966417202726,-0.0037996890241629444,-0.003528411631123163,-0.003257134238083381,-0.0029858568450435996,-0.002714579452003818,-0.0024433020589640364,-0.002172024665924255,-0.0019007472728844732,-0.0016294698798446916,-0.00135819248680491,-0.0010869150937651284,-0.0008156377007253468,-0.0005443603076855652,-0.0002730829146457836,-0.000001805521606002003,0.0002694718714337796,0.0005407492644735612,0.0008120266575133428,0.0010833040505531244,0.001354581443592906,0.0016258588366326876,0.0018971362296724692,0.002168413622712251,0.0024396910157520324,0.002710968408791814,0.0029822458018315956,0.003253523194871377,0.003524800587911159,0.0037960779809509404,0.004067355373990722,0.004338632767030504,0.004609910160070285,0.004881187553110067,0.005152464946149848,0.00542374233918963,0.005695019732229412,0.005966297125269193,0.006237574518308975,0.006508851911348756,0.006780129304388538,0.00705140669742832,0.007322684090468101,0.007593961483507883,0.007865238876547664,0.008136516269587446,0.008407793662627228,0.00867907105566701,0.00895034844870679,0.009221625841746572,0.009492903234786354,0.009764180627826136,0.010035458020865917]}"
"1640","{""_type"":""histogram"",""values"":[1,0,0,2,1,1,6,7,4,6,5,12,17,27,32,35,52,87,88,129,161,207,241,329,362,488,584,706,886,982,1145,1190,1309,1339,1304,1208,1038,869,725,593,501,388,318,255,185,124,107,108,60,52,40,33,27,12,9,12,5,3,5,2,2,3,1,2],""bins"":[-0.006036060396581888,-0.00585417912225239,-0.005672297847922891,-0.005490416573593393,-0.0053085352992638946,-0.005126654024934396,-0.004944772750604898,-0.004762891476275399,-0.004581010201945901,-0.0043991289276164025,-0.004217247653286904,-0.004035366378957406,-0.0038534851046279073,-0.003671603830298409,-0.0034897225559689105,-0.003307841281639412,-0.0031259600073099136,-0.0029440787329804152,-0.002762197458650917,-0.0025803161843214184,-0.00239843490999192,-0.0022165536356624216,-0.002034672361332923,-0.0018527910870034248,-0.0016709098126739264,-0.001489028538344428,-0.0013071472640149295,-0.0011252659896854311,-0.0009433847153559327,-0.0007615034410264343,-0.0005796221666969359,-0.0003977408923674375,-0.00021585961803793907,-0.00003397834370844066,0.00014790293062105775,0.00032978420495055616,0.0005116654792800546,0.000693546753609553,0.0008754280279390514,0.0010573093022685498,0.0012391905765980482,0.0014210718509275466,0.001602953125257045,0.0017848343995865434,0.001966715673916042,0.0021485969482455403,0.0023304782225750387,0.002512359496904537,0.0026942407712340355,0.002876122045563534,0.0030580033198930323,0.0032398845942225307,0.003421765868552029,0.0036036471428815275,0.003785528417211026,0.003967409691540524,0.004149290965870023,0.004331172240199521,0.00451305351452902,0.004694934788858518,0.004876816063188016,0.005058697337517515,0.005240578611847013,0.005422459886176512,0.00560434116050601]}"
"1649","{""_type"":""histogram"",""values"":[1,0,0,1,4,2,1,5,6,6,15,12,29,22,34,63,81,122,159,241,316,418,583,803,1104,1241,1565,1874,1924,1759,1470,1179,888,703,522,359,262,207,126,96,67,41,28,31,17,10,11,6,2,1,7,2,1,1,0,0,1,1,1,0,0,0,0,1],""bins"":[-0.009023619815707207,-0.008705025553354062,-0.008386431291000918,-0.008067837028647773,-0.007749242766294628,-0.007430648503941484,-0.007112054241588339,-0.006793459979235195,-0.00647486571688205,-0.0061562714545289055,-0.005837677192175761,-0.005519082929822616,-0.005200488667469472,-0.004881894405116327,-0.0045633001427631825,-0.004244705880410038,-0.003926111618056893,-0.0036075173557037488,-0.003288923093350604,-0.0029703288309974596,-0.002651734568644315,-0.0023331403062911704,-0.002014546043938026,-0.0016959517815848812,-0.0013773575192317367,-0.001058763256878592,-0.0007401689945254475,-0.0004215747321723029,-0.00010298046981915832,0.00021561379253398627,0.0005342080548871309,0.0008528023172402754,0.00117139657959342,0.0014899908419465646,0.0018085851042997092,0.002127179366652854,0.0024457736290059984,0.002764367891359143,0.0030829621537122875,0.003401556416065432,0.0037201506784185767,0.004038744940771721,0.004357339203124866,0.0046759334654780105,0.004994527727831155,0.0053131219901843,0.005631716252537444,0.005950310514890589,0.006268904777243733,0.006587499039596878,0.006906093301950023,0.007224687564303167,0.007543281826656312,0.007861876089009456,0.008180470351362601,0.008499064613715746,0.00881765887606889,0.009136253138422035,0.00945484740077518,0.009773441663128324,0.010092035925481468,0.010410630187834613,0.010729224450187758,0.011047818712540902,0.011366412974894047]}"
"1659","{""values"":[1,1,1,1,1,3,8,11,7,11,22,28,32,57,59,65,111,159,213,240,356,394,510,640,742,912,1040,1183,1349,1309,1359,1269,1152,976,854,689,587,491,341,287,238,182,139,94,79,50,38,36,25,19,16,8,7,5,6,3,4,3,2,2,2,1,1,1],""_type"":""histogram"",""bins"":[-0.004436299204826355,-0.004286860887077637,-0.004137422569328919,-0.003987984251580201,-0.003838545933831483,-0.003689107616082765,-0.003539669298334047,-0.0033902309805853292,-0.0032407926628366113,-0.0030913543450878933,-0.0029419160273391753,-0.0027924777095904574,-0.0026430393918417394,-0.0024936010740930215,-0.0023441627563443035,-0.0021947244385955855,-0.0020452861208468676,-0.0018958478030981496,-0.0017464094853494316,-0.0015969711676007137,-0.0014475328498519957,-0.0012980945321032777,-0.0011486562143545598,-0.0009992178966058418,-0.0008497795788571239,-0.0007003412611084059,-0.0005509029433596879,-0.00040146462561096996,-0.000252026307862252,-0.00010258799011353403,0.00004685032763518393,0.0001962886453839019,0.00034572696313261986,0.0004951652808813378,0.0006446035986300558,0.0007940419163787737,0.0009434802341274917,0.0010929185518762097,0.0012423568696249276,0.0013917951873736456,0.0015412335051223636,0.0016906718228710815,0.0018401101406197995,0.0019895484583685175,0.0021389867761172354,0.0022884250938659534,0.0024378634116146713,0.0025873017293633893,0.0027367400471121073,0.0028861783648608252,0.003035616682609543,0.003185055000358261,0.003334493318106979,0.003483931635855697,0.003633369953604415,0.003782808271353133,0.003932246589101851,0.004081684906850569,0.004231123224599287,0.004380561542348005,0.004529999860096723,0.004679438177845441,0.004828876495594159,0.004978314813342877,0.005127753131091595]}"
"1669","{""_type"":""histogram"",""values"":[1,0,2,1,3,5,10,11,17,21,25,28,58,62,76,134,154,207,255,341,481,576,751,917,1106,1284,1421,1456,1396,1393,1253,1061,875,728,538,421,305,271,202,148,108,83,71,53,29,28,14,8,10,8,10,2,3,1,2,1,3,1,0,1,1,0,0,1],""bins"":[-0.007316214963793755,-0.007053578316117637,-0.006790941668441519,-0.006528305020765401,-0.006265668373089284,-0.006003031725413166,-0.005740395077737048,-0.0054777584300609306,-0.005215121782384813,-0.004952485134708695,-0.004689848487032577,-0.00442721183935646,-0.004164575191680342,-0.0039019385440042242,-0.0036393018963281065,-0.003376665248651989,-0.003114028600975871,-0.0028513919532997534,-0.0025887553056236356,-0.002326118657947518,-0.0020634820102714,-0.0018008453625952825,-0.0015382087149191648,-0.001275572067243047,-0.0010129354195669293,-0.0007502987718908116,-0.0004876621242146939,-0.00022502547653857619,0.00003761117113754153,0.00030024781881365925,0.000562884466489777,0.0008255211141658947,0.0010881577618420124,0.0013507944095181301,0.0016134310571942478,0.0018760677048703656,0.0021387043525464833,0.002401341000222601,0.0026639776478987187,0.0029266142955748364,0.003189250943250954,0.003451887590927072,0.0037145242386031896,0.003977160886279307,0.004239797533955425,0.004502434181631543,0.0047650708293076605,0.005027707476983778,0.005290344124659896,0.005552980772336014,0.005815617420012131,0.006078254067688249,0.006340890715364367,0.0066035273630404845,0.006866164010716602,0.00712880065839272,0.007391437306068838,0.007654073953744955,0.007916710601421073,0.00817934724909719,0.008441983896773309,0.008704620544449426,0.008967257192125544,0.009229893839801662,0.00949253048747778]}"
"1678","{""values"":[1,0,0,0,1,1,1,2,3,8,3,8,7,15,21,16,25,42,45,71,99,132,191,253,358,442,558,734,931,1127,1272,1460,1495,1573,1414,1229,1097,902,732,558,399,336,232,142,134,103,75,58,36,34,20,12,7,6,1,4,2,1,1,0,0,1,0,1],""_type"":""histogram"",""bins"":[-0.006200307514518499,-0.006011067402141634,-0.005821827289764769,-0.005632587177387904,-0.005443347065011039,-0.005254106952634174,-0.005064866840257309,-0.004875626727880444,-0.004686386615503579,-0.004497146503126714,-0.004307906390749849,-0.004118666278372984,-0.003929426165996119,-0.0037401860536192544,-0.0035509459412423894,-0.0033617058288655244,-0.0031724657164886594,-0.0029832256041117944,-0.0027939854917349294,-0.0026047453793580644,-0.0024155052669811994,-0.0022262651546043344,-0.0020370250422274694,-0.0018477849298506044,-0.0016585448174737394,-0.0014693047050968744,-0.0012800645927200094,-0.0010908244803431444,-0.0009015843679662794,-0.0007123442555894144,-0.0005231041432125494,-0.0003338640308356844,-0.0001446239184588194,0.00004461619391804561,0.0002338563062949106,0.0004230964186717756,0.0006123365310486406,0.0008015766434255056,0.0009908167558023706,0.0011800568681792356,0.0013692969805561006,0.0015585370929329656,0.0017477772053098306,0.0019370173176866956,0.0021262574300635606,0.0023154975424404256,0.0025047376548172906,0.0026939777671941556,0.0028832178795710206,0.0030724579919478856,0.0032616981043247506,0.0034509382167016156,0.0036401783290784806,0.0038294184414553456,0.004018658553832211,0.004207898666209076,0.004397138778585941,0.004586378890962806,0.004775619003339671,0.004964859115716536,0.005154099228093401,0.005343339340470266,0.005532579452847131,0.005721819565223996,0.005911059677600861]}"
"1688","{""_type"":""histogram"",""values"":[1,0,1,1,0,4,2,1,4,2,1,8,5,7,8,14,20,31,39,51,73,95,151,181,302,350,473,598,733,885,1131,1303,1462,1540,1494,1457,1255,1091,852,768,521,422,278,221,180,110,82,56,50,20,29,26,9,8,8,3,4,4,1,3,1,0,0,2],""bins"":[-0.0071020666509866714,-0.00689307700667996,-0.006684087362373248,-0.006475097718066536,-0.006266108073759824,-0.006057118429453112,-0.0058481287851464,-0.0056391391408396885,-0.005430149496532977,-0.005221159852226265,-0.005012170207919553,-0.004803180563612841,-0.004594190919306129,-0.004385201274999417,-0.0041762116306927055,-0.003967221986385994,-0.003758232342079282,-0.00354924269777257,-0.003340253053465858,-0.0031312634091591462,-0.0029222737648524344,-0.0027132841205457225,-0.0025042944762390107,-0.002295304831932299,-0.002086315187625587,-0.0018773255433188751,-0.0016683358990121633,-0.0014593462547054514,-0.0012503566103987396,-0.0010413669660920277,-0.0008323773217853159,-0.000623387677478604,-0.00041439803317189217,-0.00020540838886518031,0.000003581255441531539,0.0002125708997482434,0.00042156054405495524,0.0006305501883616671,0.000839539832668379,0.0010485294769750908,0.0012575191212818027,0.0014665087655885145,0.0016754984098952264,0.0018844880542019382,0.00209347769850865,0.002302467342815362,0.0025114569871220738,0.0027204466314287856,0.0029294362757354975,0.0031384259200422093,0.003347415564348921,0.003556405208655633,0.003765394852962345,0.003974384497269057,0.004183374141575769,0.0043923637858824804,0.004601353430189192,0.004810343074495904,0.005019332718802616,0.005228322363109328,0.00543731200741604,0.0056463016517227516,0.005855291296029463,0.006064280940336175,0.006273270584642887]}"
"1697","{""_type"":""histogram"",""values"":[1,0,1,5,4,5,4,14,16,20,32,29,38,81,86,110,140,196,242,307,392,504,596,754,848,995,1095,1272,1374,1346,1345,1154,1044,894,772,591,479,387,320,217,161,121,101,73,61,56,39,28,21,13,11,11,10,4,5,1,2,0,0,0,1,2,0,1],""bins"":[-0.005574785638600588,-0.0053829194366699085,-0.005191053234739229,-0.00499918703280855,-0.00480732083087787,-0.004615454628947191,-0.0044235884270165116,-0.004231722225085832,-0.004039856023155153,-0.0038479898212244734,-0.003656123619293794,-0.0034642574173631147,-0.0032723912154324353,-0.003080525013501756,-0.0028886588115710765,-0.002696792609640397,-0.0025049264077097178,-0.0023130602057790384,-0.002121194003848359,-0.0019293278019176796,-0.0017374615999870002,-0.0015455953980563208,-0.0013537291961256415,-0.001161862994194962,-0.0009699967922642827,-0.0007781305903336033,-0.0005862643884029239,-0.00039439818647224456,-0.00020253198454156518,-0.000010665782610885799,0.00018120041931979358,0.00037306662125047296,0.0005649328231811523,0.0007567990251118317,0.0009486652270425111,0.0011405314289731905,0.0013323976309038699,0.0015242638328345492,0.0017161300347652286,0.001907996236695908,0.0020998624386265874,0.0022917286405572668,0.002483594842487946,0.0026754610444186255,0.002867327246349305,0.0030591934482799843,0.0032510596502106637,0.003442925852141343,0.0036347920540720224,0.003826658256002702,0.004018524457933381,0.004210390659864061,0.00440225686179474,0.004594123063725419,0.004785989265656099,0.004977855467586778,0.0051697216695174575,0.005361587871448137,0.005553454073378816,0.005745320275309496,0.005937186477240175,0.006129052679170854,0.006320918881101534,0.006512785083032213,0.0067046512849628925]}"
